0.97, -0.33, 1072184.00
1.09, -0.37, 1072201.00
1.40, -0.40, 1072218.00
1.95, -0.41, 1072235.00
2.32, -0.39, 1072252.00
3.34, -0.35, 1072269.00
3.99, -0.29, 1072286.00
3.48, -0.21, 1072303.00
3.53, -0.11, 1072320.00
3.71, 0.01, 1072337.00
2.04, 0.13, 1072354.00
1.66, 0.27, 1072371.00
1.91, 0.42, 1072388.00
4.36, 0.56, 1072405.00
1.68, 0.69, 1072422.00
3.26, 0.82, 1072439.00
2.41, 0.93, 1072456.00
1.46, 1.02, 1072473.00
1.14, 1.09, 1072490.00
0.91, 1.14, 1072507.00
1.13, 1.16, 1072524.00
1.18, 1.15, 1072541.00
0.98, 1.11, 1072558.00
1.01, 1.04, 1072575.00
1.09, 0.95, 1072592.00
1.05, 0.84, 1072609.00
1.02, 0.70, 1072626.00
1.00, 0.55, 1072643.00
0.98, 0.40, 1072660.00
0.98, 0.23, 1072677.00
0.99, 0.07, 1072694.00
0.99, -0.09, 1072711.00
0.99, -0.25, 1072728.00
0.98, -0.38, 1072745.00
0.98, -0.50, 1072762.00
0.98, -0.60, 1072779.00
1.02, -0.67, 1072796.00
1.06, -0.72, 1072813.00
1.08, -0.75, 1072830.00
1.08, -0.74, 1072847.00
1.04, -0.72, 1072864.00
1.07, -0.67, 1072881.00
STEP DETECTED: 1072575.00
1.08, -0.60, 1072898.00
1.22, -0.51, 1072915.00
1.31, -0.41, 1072932.00
1.36, -0.31, 1072949.00
1.56, -0.20, 1072966.00
1.85, -0.09, 1072983.00
1.96, 0.02, 1073000.00
2.48, 0.11, 1073017.00
2.92, 0.19, 1073034.00
2.57, 0.26, 1073051.00
1.64, 0.30, 1073068.00
1.94, 0.33, 1073085.00
2.05, 0.34, 1073102.00
1.35, 0.32, 1073119.00
0.91, 0.29, 1073136.00
0.66, 0.24, 1073153.00
0.58, 0.17, 1073170.00
0.47, 0.10, 1073187.00
0.42, 0.01, 1073204.00
0.18, -0.08, 1073221.00
0.36, -0.17, 1073238.00
0.36, -0.25, 1073255.00
0.40, -0.32, 1073272.00
0.58, -0.38, 1073289.00
0.68, -0.43, 1073306.00
0.93, -0.45, 1073323.00
1.21, -0.46, 1073340.00
1.69, -0.44, 1073357.00
2.06, -0.40, 1073374.00
3.12, -0.34, 1073391.00
4.15, -0.25, 1073408.00
4.11, -0.15, 1073425.00
3.43, -0.03, 1073442.00
3.74, 0.10, 1073459.00
3.56, 0.24, 1073476.00
1.89, 0.39, 1073493.00
1.68, 0.53, 1073510.00
2.87, 0.67, 1073527.00
3.69, 0.80, 1073544.00
2.52, 0.91, 1073561.00
3.09, 1.01, 1073578.00
2.18, 1.09, 1073595.00
1.58, 1.14, 1073612.00
1.21, 1.16, 1073629.00
0.89, 1.16, 1073646.00
1.15, 1.13, 1073663.00
1.11, 1.13, 1073680.00
1.03, 1.08, 1073697.00
1.06, 1.00, 1073714.00
1.07, 0.89, 1073731.00
1.05, 0.77, 1073748.00
1.04, 0.63, 1073765.00
1.04, 0.47, 1073782.00
1.00, 0.31, 1073799.00
0.97, 0.15, 1073816.00
0.97, -0.01, 1073833.00
0.99, -0.16, 1073850.00
0.99, -0.31, 1073867.00
0.98, -0.43, 1073884.00
0.99, -0.54, 1073901.00
1.00, -0.63, 1073918.00
1.01, -0.69, 1073935.00
1.03, -0.73, 1073952.00
1.07, -0.75, 1073969.00
1.07, -0.74, 1073986.00
1.05, -0.70, 1074003.00
1.08, -0.65, 1074020.00
STEP DETECTED: 1073697.00
1.15, -0.57, 1074037.00
1.25, -0.48, 1074054.00
1.39, -0.38, 1074071.00
1.54, -0.27, 1074088.00
1.68, -0.16, 1074105.00
1.99, -0.05, 1074122.00
2.67, 0.05, 1074139.00
2.96, 0.15, 1074156.00
2.41, 0.23, 1074173.00
1.53, 0.29, 1074190.00
1.76, 0.34, 1074207.00
2.06, 0.36, 1074224.00
1.46, 0.36, 1074241.00
0.89, 0.35, 1074258.00
1.17, 0.31, 1074275.00
0.36, 0.25, 1074292.00
0.36, 0.18, 1074309.00
0.32, 0.09, 1074326.00
0.34, 0.00, 1074343.00
0.30, -0.10, 1074360.00
0.33, -0.20, 1074377.00
